CHAR,DIALOG,NAME,_ID,RUNTIMEINMINUTES,ACADEMYAWARDNOMINATIONS,ACADEMYAWARDWINS,RELEASE_YEAR,DIA_LGTH,IMDB,METASCORE,DESCRIPTION
STRIDER,"They were once men. Great Kings of Men. The Sauron     the Deciever gave to them nine rings of power. Blinded by their greed     they took them without question. One by one falling into darkness    ,Now they are slaves to his will. They are     the Nazg'l. Ringwraiths. Neither living nor dead. At all times they     feel the presence of the Ring , Drawn to the power of the One    , They     will never stop hunting you.",The Fellowship of the Ring,5cd95395de30eff6ebccde5c,178,13,4,2001,421,8.8,92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
GALADRIEL,"For within these rings was bound the strength and will     to govern each race. ,     But they were all of them deceived. ,For another ring was made. , In the land of Mordor, ,in the fires of Mount Doom (, the dark Lord Sauron forged in     secret a master Ring ,to control all others and into this Ring he poured     all his cruelty, his malice , and his will to     dominate all life. , One Ring to rule them all.",The Fellowship of the Ring,5cd95395de30eff6ebccde5c,178,13,4,2001,415,8.8,92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
ARAGORN,"Sons of Gondor, of Rohan, my brothers. (They listen to him.) I see it in     your eyes, the same fear that would take the heart of me. A day may come     when the courage of men fails, when we forsake our friends and break all     bonds of fellowship, but it is not this day! An hour of wolves and shattered     shields when the age of men comes crashing down, but it is not this day!     This day we fight!",The Return of the King,5cd95395de30eff6ebccde5d,201,11,11,2003,407,8.9,94,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
GANDALF,"Pity ? It was pity that stayed Bilbo's hand.     Many that live deserve death and many that die, deserve life. Can you give     it to them Frodo ? Do not be too eager to deal out death and judgement Even     the very wise cannot see all ends. My heart tells me that Gollum has     some part to play, yet for good or ill.... before this is over.    ,     The pity of Bilbo, may rule the fate of many",The Fellowship of the Ring,5cd95395de30eff6ebccde5c,178,13,4,2001,398,8.8,92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
DENETHOR,"It's dangerous,     I know. Ever the Ring will seek to corrupt the hearts of lesser Men. But     you, you are strong.    And our need is great. It is our blood which is being spilled, our people     who are dying. Sauron is biding his time. He's massing fresh armies. He will     return. And when he does, we will be powerless to stop him. You must go.    ,Bring me back this     mighty gift    .",The Two Towers,5cd95395de30eff6ebccde5b,179,6,2,2002,396,8.7,87,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
MERRY,"My lady. You are fair and brave and have much to live for    , and many who love you. I     know it is too late to turn aside. I know there is not much point now in     hoping. If I were a knight of Rohan capable of great deeds'but I'm not. I'm a Hobbit. And I know I can't save Middle Earth. I just want to help my friends; Frodo, Sam, Pippin. More than anything I wish I could see them again.",The Return of the King,5cd95395de30eff6ebccde5d,201,11,11,2003,394,8.9,94,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
SAM,"I know. It's all wrong.      ,By rights, we shouldn't even be here.      But we are. It's like in the great stories, Mr. Frodo. The ones that really mattered.      ,Full of darkness and danger they were.      And sometimes you didn't want to know the end.....because how could the end be happy?      How could the world go back      to the way it was...... when so much bad had happened?",The Two Towers,5cd95395de30eff6ebccde5b,179,6,2,2002,387,8.7,87,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
BILBO,"Hobbits have been living and farming in the four     Farthings of the Shire for many hundreds of years. , quite content to     ignore and be ignored by the world of the Big Folk. , Middle Earth being,     after all, full of strange creatures beyond count. Hobbits must seem of     little importance, being neither renowned as great warriors, nor counted     amongst the very wise.",The Fellowship of the Ring,5cd95395de30eff6ebccde5c,178,13,4,2001,380,8.8,92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
SAM,"Do you remember the Shire Mr Frodo? It will be Spring soon and the orchards     will be in blossom. And the birds will be nesting in the hazel thickets. (He     is crying.) And they will be sowing the summer barley in the lower fields,     (Frodo opens his eyes and looks at him.) and eating the first of the     strawberries and cream. Do you remember the taste of strawberries?",The Return of the King,5cd95395de30eff6ebccde5d,201,11,11,2003,379,8.9,94,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
GANDALF,"So do all who live to see such times, but that is not for     them to decide. All we have to decide is what to do with the time that     is given to us. There are other forces at work in this world, Frodo,     besides the will of evil. Bilbo was meant to find the Ring, in which     case you also were meant to have it and that is an encouraging thought.        Oh! Its that way",The Fellowship of the Ring,5cd95395de30eff6ebccde5c,178,13,4,2001,378,8.8,92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
